shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence

69683,42.33358,-83.05216,1

69683,42.33408,-83.05209,2

69683,42.3345,-83.05205,3

69683,42.33489,-83.05226,4

69683,42.33501,-83.05236,5

69683,42.33532,-83.05232,6

69683,42.33572,-83.05205,7

69683,42.33579,-83.05189,8

69683,42.33583,-83.0517,9

69683,42.33571,-83.05121,10

69683,42.33571,-83.05102,11

69683,42.33578,-83.05063,12

69683,42.33588,-83.05023,13

69683,42.33629,-83.04956,14

69683,42.33598,-83.04857,15

69683,42.33528,-83.04815,16

69683,42.33452,-83.04776,17

69683,42.33357,-83.04677,18

69683,42.33414,-83.0457,19

69683,42.33496,-83.04465,20

69683,42.33537,-83.04312,21

69683,42.33384,-83.04162,22

69683,42.3331,-83.04103,23

69683,42.33161,-83.04008,24

69683,42.33051,-83.03953,25

69683,42.33011,-83.04018,26

69683,42.32991,-83.041,27

69683,42.33036,-83.04259,28

69683,42.32983,-83.0441,29

69683,42.32956,-83.04472,30

69683,42.32883,-83.04646,31

69683,42.32832,-83.04716,32

69683,42.32724,-83.04656,33

69683,42.32585,-83.04635,34

69683,42.32518,-83.04811,35

69683,42.32456,-83.05172,36

69683,42.32475,-83.05246,37

69683,42.32553,-83.05275,38

69683,42.32588,-83.05285,39

69683,42.32607,-83.05271,40

69683,42.32647,-83.05164,41

69683,42.32698,-83.05019,42

69683,42.32728,-83.04929,43

69683,42.32879,-83.0504,44

69683,42.32942,-83.05099,45

69683,42.33067,-83.05194,46

69683,42.33192,-83.05218,47

69683,42.33326,-83.05212,48

69683,42.33352,-83.05226,49
