trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
weekday-1A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-2A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-3A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-4A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-5A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-6A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-7A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-8A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-9A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-10A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-11A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-12A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-13A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-14A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-15A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-16A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-17A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-18A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-19A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-20A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-21A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-22A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-23A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-24A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-25A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-26A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-27A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-28A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-29A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-30A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-31A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-32A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-33A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-34A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-35A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-36A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-37A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-38A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-39A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-40A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-41A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-42A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-43A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-44A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-45A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-46A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-47A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-48A,22210,weekday,Loop,,0,weekday-A,69683,1,2
weekday-1B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-2B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-3B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-4B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-5B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-6B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-7B,22210,weekday,Loop,,0,weekday-B,69683,1,2
weekday-8B,22210,weekday,Loop,,0,weekday-B,69683,1,2
